"Trend Category","Sub-Category","Count"
"Access & Security","","416"
"Access & Security","Audit & Compliance","33"
"Access & Security","Authentication","64"
"Access & Security","User Access","319"
"Case Administration","","5"
"Case Administration","Closure Management","5"
"Configuration & Administration","","86"
"Configuration & Administration","Configuration Change","42"
"Configuration & Administration","System Administration","44"
"Data Management","","106"
"Data Management","Data Correction","64"
"Data Management","Data Quality","1"
"Data Management","Data Recovery","41"
"Defects & Errors","","387"
"Defects & Errors","Application Defect","1"
"Defects & Errors","Error Messages","386"
"Integration & Interfaces","","421"
"Integration & Interfaces","Data Exchange","9"
"Integration & Interfaces","Integration Failure","308"
"Integration & Interfaces","Third-Party Systems","104"
"Notifications & Communications","","68"
"Notifications & Communications","Alerts","25"
"Notifications & Communications","Email","43"
"Performance & Availability","","619"
"Performance & Availability","Availability","188"
"Performance & Availability","Performance","431"
"Reporting & Analytics","","172"
"Reporting & Analytics","Reporting","172"
"Service Requests","","128"
"Service Requests","Information Request","50"
"Service Requests","New Request","78"
"Unclassified","","456"
"Unclassified","Needs Review","456"
"User Guidance & Training","","13"
"User Guidance & Training","How-To Request","12"
"User Guidance & Training","Training","1"
"Workflow & Process","","35"
"Workflow & Process","Approval Management","1"
"Workflow & Process","Workflow Issue","34"
