"Trend Category","Sub-Category","Count"
"Access & Security","Audit & Compliance","33"
"Access & Security","Authentication","64"
"Access & Security","User Access","319"
"Case Administration","Closure Management","5"
"Configuration & Administration","Configuration Change","42"
"Configuration & Administration","System Administration","44"
"Data Management","Data Correction","64"
"Data Management","Data Quality","1"
"Data Management","Data Recovery","41"
"Defects & Errors","Application Defect","1"
"Defects & Errors","Error Messages","386"
"Integration & Interfaces","Data Exchange","9"
"Integration & Interfaces","Integration Failure","308"
"Integration & Interfaces","Third-Party Systems","104"
"Notifications & Communications","Alerts","25"
"Notifications & Communications","Email","43"
"Performance & Availability","Availability","188"
"Performance & Availability","Performance","431"
"Reporting & Analytics","Reporting","172"
"Service Requests","Information Request","50"
"Service Requests","New Request","78"
"Unclassified","Needs Review","456"
"User Guidance & Training","How-To Request","12"
"User Guidance & Training","Training","1"
"Workflow & Process","Approval Management","1"
"Workflow & Process","Workflow Issue","34"
