product,count
Core Pharmacy,1776
ePMA,513
Pharmacy Support,110
Bundle - ePMA Medium Organisation,88
Electronic Medicines Management (eMM),83
Hospital Pharmacy,53
Decision Support Services (DSS),46
DSS on the Web,29
Optum Help Centre,23
Manufacturing (CIVAS),21
Pharmacy Support (P),20
EMIS Web - Business Continuity,18
SSRS - SQL Server Reporting Services,17
Robotics interface,14
eDischarge,13
Parenteral Nutrition (PN standalone),12
EDI Invoicing,9
Accounts Payable Interface (AP),6
PAS interface,5
EMIS Web - Interfaces,5
Interface - 3rd Party Prescribing,5
Homecare (PSO),4
Unknown,3
EMIS Web - Dispensing,3
EMIS Web - System Tools,3
Contract Price Updates - Interface to the Commercial Medicines Unit (CMU),3
EDI Ordering,3
PharmOutcomes,2
PAS PMI (Demographics) and ADT,2
Bundle - Core Pharmacy Upgrade,2
General Ledger Interface (GL),2
Parenteral Nutrition (PN) Standalone,2
Connectivity Maintenance Lite,1
Bundle - FMD Small Organisation,1
EMIS Web - Reporting,1
Optum Learn,1
PharmRefer,1
Pharmacy Core - Bundle,1
Explorer,1
CaMIS,1
tQuest,1
Clinical Desktop,1
Robotics Ward Stock (Per Stock Holding),1
EMIS Web - Workflow Manager,1
Outcomes4Health,1
EMIS Web - Configuration,1
Prescription Tracker,1
Repeat Dispensing,1
Backup Software,1
