trend,count
Other,2479
Notifications & Communications / Email,169
Reporting & Analytics / Reporting,94
Performance & Availability / Performance,74
Defects & Errors / Error Messages,25
User Guidance & Training / Training,18
Notifications & Communications / Alerts,17
Performance & Availability / Availability,12
Access & Security / Authentication,12
Data Management / Data Quality,3
Configuration & Administration / Configuration Change,3
Service Requests / Change Request,2
Configuration & Administration / System Administration,1
Reporting & Analytics / Analytics,1
Workflow & Process / Workflow Issue,1
Access & Security / Security Concern,1
