created_month,Access & Security / Authentication,Access & Security / Security Concern,Configuration & Administration / Configuration Change,Configuration & Administration / System Administration,Data Management / Data Quality,Defects & Errors / Error Messages,Notifications & Communications / Alerts,Notifications & Communications / Email,Other,Performance & Availability / Availability,Performance & Availability / Performance,Reporting & Analytics / Analytics,Reporting & Analytics / Reporting,Service Requests / Change Request,User Guidance & Training / Training,Workflow & Process / Workflow Issue
2025-07,1.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,88.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0
2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,188.0,1.0,4.0,0.0,6.0,0.0,2.0,0.0
2025-09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,170.0,4.0,4.0,0.0,9.0,0.0,1.0,0.0
2025-10,3.0,0.0,1.0,0.0,1.0,3.0,1.0,9.0,206.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0
2025-11,2.0,0.0,0.0,1.0,0.0,1.0,2.0,27.0,200.0,1.0,4.0,0.0,6.0,0.0,3.0,0.0
2025-12,0.0,0.0,0.0,0.0,0.0,7.0,4.0,8.0,185.0,1.0,2.0,0.0,19.0,0.0,0.0,0.0
2026-01,1.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,195.0,1.0,8.0,0.0,7.0,1.0,0.0,0.0
2026-02,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,188.0,1.0,0.0,0.0,7.0,1.0,4.0,0.0
2026-03,0.0,0.0,0.0,0.0,0.0,5.0,2.0,19.0,207.0,1.0,9.0,0.0,8.0,0.0,0.0,0.0
2026-04,1.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,185.0,1.0,3.0,1.0,6.0,0.0,0.0,1.0
2026-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,148.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
2026-06,1.0,1.0,1.0,0.0,0.0,4.0,0.0,10.0,182.0,0.0,16.0,0.0,4.0,0.0,1.0,0.0
2026-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,180.0,0.0,9.0,0.0,10.0,0.0,3.0,0.0
