Level,Trend Category,Sub-Category,Total Cases,SLA Recorded Cases,Avg SLA Business Time,Avg SLA Business Seconds,Median SLA Business Time,P90 SLA Business Time,Avg Elapsed Duration
Category,Integration & Interfaces,ALL,1773,1551,1d 21h 19m,163144,4h 9m,4d 1h 16m,7d 3h 24m
Category,Access & Security,ALL,351,311,2d 4h 55m,190555,6h 40m,6d 2h 19m,8d 11h 33m
Category,Performance & Availability,ALL,198,173,1d 19h 59m,158367,6h 27m,5d 14h 11m,6d 13h 37m
Category,Configuration & Administration,ALL,129,111,2d 4h 18m,188325,19h 57m,5d 16h 10m,8d 8h 2m
Category,Service Requests,ALL,113,100,15h 5m,54342,1h 49m,1d 2h 55m,2d 8h 30m
Category,Defects & Errors,ALL,112,96,13h 47m,49673,2h 42m,1d 11h 52m,2d 2h 15m
Category,Reporting & Analytics,ALL,105,92,1d 16h 46m,146814,5h 21m,3d 30m,6d 16h 59m
Category,Data Management,ALL,64,47,2d 1h 22m,177720,8h 7m,2d 4h 17m,5d 8h 55m
Category,Notifications & Communications,ALL,47,43,1d 14h 10m,137400,4h 46m,4d 11h 15m,6d 15h 14m
Category,Case Administration,ALL,10,5,15h 44m,56642,5h 47m,1d 16h 30m,2d 11h 46m
Category,User Guidance & Training,ALL,8,7,1h 27m,5254,1h 57m,2h 19m,10h 34m
Category,Workflow & Process,ALL,2,2,4d 17h 37m,409048,4d 17h 37m,9d 10h 39m,21d 14h 32m
Sub-Category,Integration & Interfaces,Integration Failure,930,836,1d 23h 10m,169827,1h 50m,4d 9h 53m,7d 11h 37m
Sub-Category,Integration & Interfaces,Third-Party Systems,843,715,1d 19h 8m,155330,7h 43m,3d 21h 39m,6d 17h 48m
Sub-Category,Access & Security,Authentication,229,205,1d 21h 39m,164370,4h 2m,4d 8h 57m,7d 8h 43m
Sub-Category,Performance & Availability,Performance,169,149,2d 52m,175920,7h 51m,6d 18m,7d 5h 30m
Sub-Category,Service Requests,New Request,113,100,15h 5m,54342,1h 49m,1d 2h 55m,2d 8h 30m
Sub-Category,Defects & Errors,Application Defect,112,96,13h 47m,49673,2h 42m,1d 11h 52m,2d 2h 15m
Sub-Category,Reporting & Analytics,Reporting,105,92,1d 16h 46m,146814,5h 21m,3d 30m,6d 16h 59m
Sub-Category,Configuration & Administration,Master Data,68,61,2d 2h 48m,182884,19h 45m,6d 5h 27m,8d 8h 2m
Sub-Category,Access & Security,Audit & Compliance,66,57,3d 53m,262421,15h 59m,8d 2h 57m,11d 19h 55m
Sub-Category,Access & Security,User Access,55,48,2d 13h 23m,220994,11h 23m,7d 21h 2m,9d 10h 58m
Sub-Category,Configuration & Administration,Configuration Change,51,41,2d 11h 17m,213456,17h 13m,5d 16h 10m,9d 2h 43m
Sub-Category,Data Management,Data Correction,42,28,2d 15h 10m,227424,5h 45m,2d 4h 17m,6d 12h 24m
Sub-Category,Notifications & Communications,Email,34,31,2d 3h 7m,184050,9h 53m,4d 13h 32m,8d 22h 51m
Sub-Category,Performance & Availability,Availability,27,23,12h 55m,46551,49m,1d 2h 37m,2d 10h 1m
Sub-Category,Data Management,Data Recovery,20,19,1d 5h 1m,104472,18h 40m,2d 2h 33m,3d 16h 25m
Sub-Category,Notifications & Communications,Alerts,13,12,4h 41m,16890,1h 5m,13h 54m,15h 36m
Sub-Category,Configuration & Administration,System Administration,10,9,1d 6h 45m,110712,1d 11h 36m,1d 16h 17m,4d 19h
Sub-Category,Case Administration,Closure Management,9,5,15h 44m,56642,5h 47m,1d 16h 30m,2d 11h 46m
Sub-Category,User Guidance & Training,How-To Request,7,6,1h 34m,5691,2h,2h 19m,12h 12m
Sub-Category,Performance & Availability,Stability,2,1,1d 7h 51m,114693,1d 7h 51m,1d 7h 51m,3d 9h 14m
Sub-Category,Data Management,Data Quality,2,0,N/A,,N/A,N/A,N/A
Sub-Category,User Guidance & Training,Knowledge Articles,1,1,43m,2633,43m,43m,43m
Sub-Category,Workflow & Process,Assignment,1,1,35m,2101,35m,35m,35m
Sub-Category,Workflow & Process,Workflow Issue,1,1,9d 10h 39m,815994,9d 10h 39m,9d 10h 39m,43d 4h 29m
Sub-Category,Access & Security,Security Concern,1,1,17m,1073,17m,17m,17m
Sub-Category,Case Administration,Misrouted Cases,1,0,N/A,,N/A,N/A,N/A
