Level,Trend Category,Sub-Category,Total Cases,SLA Recorded Cases,Avg SLA Business Time,Avg SLA Business Seconds,Median SLA Business Time,P90 SLA Business Time,Avg Elapsed Duration
Category,Integration & Interfaces,ALL,505,373,3d 7h 24m,285899,9h 38m,8d 17h 36m,13d 22h 42m
Category,Access & Security,ALL,315,107,3d 12h 8m,302922,20h 51m,8d 9h 41m,14d 7h 50m
Category,Notifications & Communications,ALL,51,33,2d 14h 46m,226003,14h 10m,5d 5h 16m,9d 19h 21m
Category,Performance & Availability,ALL,50,36,3d 7h 14m,285244,1d 38m,5d 15h 27m,13d 21h 31m
Category,Reporting & Analytics,ALL,42,30,3d 23h 19m,343166,9h 42m,5d 5h 51m,16d 15h 19m
Category,Service Requests,ALL,34,22,23h 55m,86121,8h 1m,2d 15h 29m,3d 13h 58m
Category,Defects & Errors,ALL,13,6,11h 49m,42586,7h,7h 40m,1d 22h 35m
Category,Configuration & Administration,ALL,11,7,7d 15h 50m,661810,9h 50m,21d 14h 15m,33d 4h 31m
Category,Data Management,ALL,5,2,16h 32m,59572,16h 32m,1d 1h 37m,2d 38m
Category,Case Administration,ALL,4,3,1d 3h 13m,97992,1h 26m,3d 7h 56m,4d 16h 51m
Category,User Guidance & Training,ALL,1,0,N/A,,N/A,N/A,N/A
Category,Workflow & Process,ALL,1,0,N/A,,N/A,N/A,N/A
Sub-Category,Integration & Interfaces,Integration Failure,285,197,3d 9h 3m,291788,14h 33m,8d 12h,14d 5h 24m
Sub-Category,Access & Security,Authentication,268,75,2d 10h 30m,210615,9h 39m,6d 4h 20m,9d 19h 12m
Sub-Category,Integration & Interfaces,Third-Party Systems,218,175,3d 5h 49m,280145,8h,10d 4h 19m,13d 16h 28m
Sub-Category,Notifications & Communications,Email,49,31,2d 10h 45m,211548,9h 35m,4d 21h 46m,8d 21h 38m
Sub-Category,Reporting & Analytics,Reporting,42,30,3d 23h 19m,343166,9h 42m,5d 5h 51m,16d 15h 19m
Sub-Category,Performance & Availability,Performance,42,31,3d 13h 45m,308748,1d 1h 28m,5d 15h 27m,15d 2h 31m
Sub-Category,Service Requests,New Request,34,22,23h 55m,86121,8h 1m,2d 15h 29m,3d 13h 58m
Sub-Category,Access & Security,Audit & Compliance,32,25,6d 14h 1m,568876,22h 58m,25d 21h 46m,27d 8h 9m
Sub-Category,Access & Security,User Access,14,7,3d 23h 1m,342091,4d 19h 15m,6d 1h 5m,16d 8h 16m
Sub-Category,Defects & Errors,Application Defect,13,6,11h 49m,42586,7h,7h 40m,1d 22h 35m
Sub-Category,Performance & Availability,Availability,8,5,1d 14h 45m,139520,20h 35m,3d 17h 24m,6d 9h 42m
Sub-Category,Configuration & Administration,Master Data,5,3,1d 13h 22m,134573,5h 39m,4d 4h 51m,5d 6h 12m
Sub-Category,Case Administration,Closure Management,4,3,1d 3h 13m,97992,1h 26m,3d 7h 56m,4d 16h 51m
Sub-Category,Configuration & Administration,Configuration Change,3,3,7d 8h 3m,633828,9h 50m,21d 14h 15m,32d 15h 49m
Sub-Category,Configuration & Administration,System Administration,3,1,26d 22h 31m,2327465,26d 22h 31m,26d 22h 31m,118d 13h 31m
Sub-Category,Data Management,Data Recovery,2,1,1d 1h 37m,92255,1d 1h 37m,1d 1h 37m,3d 1h 49m
Sub-Category,Data Management,Data Correction,2,1,7h 28m,26888,7h 28m,7h 28m,23h 28m
Sub-Category,Integration & Interfaces,Data Exchange,2,1,1d 12h 53m,132822,1d 12h 53m,1d 12h 53m,4d 4h 53m
Sub-Category,Notifications & Communications,Alerts,2,2,5d 5h 1m,450060,5d 5h 1m,6d 2h 11m,23d 20h 7m
Sub-Category,User Guidance & Training,How-To Request,1,0,N/A,,N/A,N/A,N/A
Sub-Category,Access & Security,Security Concern,1,0,N/A,,N/A,N/A,N/A
Sub-Category,Data Management,Data Quality,1,0,N/A,,N/A,N/A,N/A
Sub-Category,Workflow & Process,Assignment,1,0,N/A,,N/A,N/A,N/A
