created_month,Access & Security / Authentication,Data Management / Data Quality,Defects & Errors / Error Messages,Notifications & Communications / Alerts,Notifications & Communications / Email,Other,Performance & Availability / Availability,Performance & Availability / Performance,Reporting & Analytics / Analytics,Reporting & Analytics / Dashboard,Reporting & Analytics / Reporting,User Guidance & Training / Training,Workflow & Process / Assignment
2025-07,0.0,0.0,1.0,0.0,2.0,32.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
2025-08,2.0,0.0,1.0,0.0,10.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-09,0.0,0.0,1.0,0.0,8.0,71.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
2025-10,2.0,0.0,2.0,1.0,9.0,77.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
2025-11,1.0,0.0,3.0,0.0,11.0,54.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
2025-12,0.0,1.0,1.0,0.0,122.0,64.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2026-01,3.0,0.0,3.0,0.0,25.0,96.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0
2026-02,3.0,0.0,0.0,0.0,15.0,52.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03,0.0,0.0,0.0,1.0,8.0,55.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-04,0.0,0.0,1.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2026-05,3.0,0.0,0.0,0.0,10.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-06,0.0,0.0,0.0,0.0,4.0,49.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2026-07,1.0,1.0,1.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
