"trend","number","account","priority","sys_created_on","resolved_at","TTR_seconds","TTR","SLA_Business_Time_seconds","SLA_Business_Time","SLA_Duration_seconds","SLA_Duration","short_description"
"Audit / IG / access investigation","CS1610399","Leeds Teaching Hospitals NHS Trust","3 - Medium","04/07/2025 09:05:44","18/07/2025 10:21:06","1214122","14 days, 1 hrs, 15 mins","213417.0","2 days, 11 hrs, 16 mins","386217.0","4 days, 11 hrs, 16 mins","Reports not showing the correct details"
"Audit / IG / access investigation","CS1616353","Leeds Teaching Hospitals NHS Trust","4 - Low","16/07/2025 10:41:10","17/07/2025 12:53:03","94313","1 days, 2 hrs, 11 mins","51113.0","14 hrs, 11 mins","94313.0","1 days, 2 hrs, 11 mins","Majax"
"Audit / IG / access investigation","CS1617557","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","4 - Low","17/07/2025 12:00:50","17/07/2025 15:08:32","11262","0 days, 3 hrs, 7 mins","11262.0","3 hrs, 7 mins","11262.0","3 hrs, 7 mins","Audit for when Special Case alert added to patient"
"DAD / HL7 / interface messaging","CS1618519","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","3 - Medium","18/07/2025 12:46:50","21/07/2025 13:50:32","263022","3 days, 1 hrs, 3 mins","32622.0","9 hrs, 3 mins","263022.0","3 days, 1 hrs, 3 mins","Server Patching  following cyber alert"
"DAD / HL7 / interface messaging","CS1618831","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","18/07/2025 16:30:42","21/07/2025 13:57:08","249986","2 days, 21 hrs, 26 mins","116806.0","1 days, 8 hrs, 26 mins","246406.0","2 days, 20 hrs, 26 mins","Hl7 Message suspended"
"DAD / HL7 / interface messaging","CS1618897","South Tees Hospitals NHS Foundation Trust","2 - High","19/07/2025 07:49:12","19/07/2025 15:53:42","29070","0 days, 8 hrs, 4 mins","21584.0","5 hrs, 59 mins","21584.0","5 hrs, 59 mins","No messages coming in from TIE"
"DAD / HL7 / interface messaging","CS1618918","South Tees Hospitals NHS Foundation Trust","2 - High","19/07/2025 14:56:49","19/07/2025 16:45:31","6522","0 days, 1 hrs, 48 mins","6522.0","1 hrs, 48 mins","6522.0","1 hrs, 48 mins","GP Connect not working"
"Performance / outage / errors","CS1618920","South Tees Hospitals NHS Foundation Trust","2 - High","19/07/2025 15:54:59","21/07/2025 08:51:14","147375","1 days, 16 hrs, 56 mins","3189.0","53 mins","3189.0","53 mins","Admission Summary not working"
"Audit / IG / access investigation","CS1619318","Health Service Executive","4 - Low","21/07/2025 11:29:50","21/07/2025 15:36:04","14774","0 days, 4 hrs, 6 mins","14774.0","4 hrs, 6 mins","14774.0","4 hrs, 6 mins","Symphony interface down Sunday 20th July 2025"
"DAD / HL7 / interface messaging","CS1620938","Mid Yorkshire Teaching NHS Trust","4 - Low","22/07/2025 16:42:10","24/07/2025 11:20:01","153471","1 days, 18 hrs, 37 mins","18121.0","5 hrs, 2 mins","18620.0","5 hrs, 10 mins","EIE/DAD restart"
