created_month,Account / Active users,Audit / IG / access investigation,Clinical workflow / DEP / clinic / BRM,DAD / HL7 / interface messaging,Data / SQL / configuration,Environment / Deployment / Test,Location / department / lookup changes,Login / access / permissions,Master File / Import,ODS / TRUD updates,Other,Performance / outage / errors,Printing / documents / output,Reporting / SSRS / dashboards,SCR / TIE issues,Site-specific / Bedford Symphony,Soft delete / deleted records
2025-07,0.0,14.0,9.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
2025-08,0.0,22.0,8.0,8.0,10.0,3.0,1.0,2.0,0.0,1.0,23.0,1.0,1.0,1.0,3.0,0.0,0.0
2025-09,1.0,17.0,7.0,18.0,5.0,10.0,0.0,3.0,0.0,1.0,24.0,1.0,5.0,0.0,0.0,1.0,0.0
2025-10,2.0,28.0,8.0,13.0,7.0,4.0,1.0,3.0,1.0,0.0,26.0,0.0,3.0,1.0,1.0,1.0,0.0
2025-11,1.0,29.0,10.0,11.0,4.0,2.0,3.0,3.0,0.0,0.0,14.0,3.0,1.0,0.0,2.0,0.0,0.0
2025-12,0.0,21.0,9.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,3.0,0.0,0.0
2026-01,0.0,17.0,6.0,6.0,3.0,1.0,0.0,3.0,0.0,0.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0
2026-02,0.0,21.0,8.0,10.0,3.0,1.0,2.0,3.0,0.0,0.0,11.0,1.0,0.0,0.0,3.0,0.0,3.0
2026-03,2.0,18.0,11.0,7.0,4.0,3.0,0.0,1.0,1.0,0.0,12.0,0.0,1.0,1.0,2.0,0.0,0.0
2026-04,0.0,19.0,10.0,8.0,9.0,1.0,1.0,3.0,0.0,0.0,15.0,0.0,1.0,0.0,2.0,0.0,1.0
2026-05,0.0,18.0,10.0,11.0,7.0,3.0,0.0,1.0,0.0,0.0,13.0,2.0,2.0,0.0,1.0,1.0,0.0
2026-06,2.0,36.0,7.0,12.0,1.0,4.0,0.0,1.0,0.0,0.0,18.0,2.0,1.0,1.0,5.0,0.0,0.0
2026-07,0.0,36.0,7.0,12.0,5.0,2.0,0.0,2.0,0.0,0.0,11.0,3.0,1.0,1.0,1.0,0.0,0.0
