Rank,Case Number,Short Description,Account / NHS Trust,Assigned To,Actual Duration,Actual Duration (Seconds),Business Duration,Business Duration (Seconds),Trend Category,Sub-Category,Linked PRB
1,CS1775341,AD login,Health Service Executive,Sheree Chadwick,69d 58m,5965088.0,16d 8h 58m,1414688.0,Access & Security,Authentication,N/A
2,CS1784855,GP Surgeries Not Pulling From WPAS,Aneurin Bevan University Healthboard,Sheree Chadwick,56d 17h 39m,4901981.0,14d 1h 35m,1215323.0,Integration & Interfaces,Third-Party Systems,N/A
3,CS1786732,Bedford - Symphony scorecard is not updating,Luton And Dunstable Hospital NHS Foundation Trust,Gareth Evans,32d 38m,2767099.0,15d 12h 38m,1341499.0,Performance & Availability,Performance,N/A
4,CS1750463,Invalid Parameter: Build - On test DB,Kent Community Health NHS Foundation Trust,Lee Booth,30d 23h 3m,2674986.0,14d 12h 3m,1252986.0,Access & Security,Authentication,N/A
5,CS1747422,Triage enotes coming up at Discharge,Northern Lincolnshire And Goole NHS Foundation Trust,Sheree Chadwick,25d 4h 17m,2175420.0,12d 16h 17m,1095420.0,Access & Security,Audit & Compliance,N/A
6,CS1736983,Next Of Kin,Tallaght University Hospital,Gareth Evans,19d 19h 45m,1712743.0,4d 11h 45m,387943.0,Defects & Errors,Application Defect,N/A
7,CS1744873,ODS/GP Update,North Cumbria Integrated Care NHS Foundation Trust,Gareth Evans,19d 16h 14m,1700040.0,9d 17h 14m,839640.0,Integration & Interfaces,Third-Party Systems,N/A
8,CS1727788,Update of network paths required - Awaiting email,South Tees Hospitals NHS Foundation Trust,Shazad Ishaque,18d 14h 32m,1607574.0,5d 22h 10m,511836.0,Notifications & Communications,Email,N/A
9,CS1748800,Add CFG_Locations field to replication,Leeds Teaching Hospitals NHS Trust,Gareth Evans,17d 8h 47m,1500434.0,7d 21h 18m,681486.0,Integration & Interfaces,Third-Party Systems,N/A
10,CS1744142,Error when opening Symphony,Aneurin Bevan University Healthboard,Gareth Evans,16d 23h 55m,1468538.0,4d 7h 55m,374130.0,Defects & Errors,Application Defect,N/A
11,CS1779403,RDS numlock issue,Betsi Cadwaladr University Healthboard,Shazad Ishaque,15d 1h 26m,1301191.0,3d 17h 26m,321991.0,Defects & Errors,Application Defect,N/A
12,CS1776914,Symphony DBA Tunning Questions,Brighton And Sussex University Hospitals NHS Trust,Konrad Siddons,14d 1h 24m,1214667.0,3d 9h 24m,293067.0,Integration & Interfaces,Integration Failure,N/A
13,CS1744351,Bedford Symphony Test Interop to ICE,Bedford Hospital NHS Trust,Sheree Chadwick,13d 18h 3m,1188194.0,3d 16h 35m,318902.0,Integration & Interfaces,Integration Failure,N/A
14,CS1743120,Removing Alerts from indicator tab,Mid Yorkshire Teaching NHS Trust,Gareth Evans,12d 23h 41m,1122080.0,2d 23h 41m,258080.0,Integration & Interfaces,Third-Party Systems,N/A
15,CS1718837,Unable to add CPAU to filters,Health Service Executive,Sheree Chadwick,12d 22h 30m,1117812.0,2d 22h 30m,253812.0,Service Requests,New Request,N/A
16,CS1729850,Batch Printing Issue,Aneurin Bevan University Healthboard,Sheree Chadwick,11d 3h 16m,962202.0,2d 10h 56m,212216.0,Integration & Interfaces,Integration Failure,N/A
17,CS1779897,Dash board,Leeds Teaching Hospitals NHS Trust,Konrad Siddons,10d 23h 34m,948877.0,5d 11h 34m,473677.0,Reporting & Analytics,Dashboard,N/A
18,CS1775902,System Backup,South Tees Hospitals NHS Foundation Trust,Gareth Evans,10d 22h 38m,945494.0,2d 6h 38m,196694.0,Integration & Interfaces,Integration Failure,N/A
19,CS1712776,Staff audit,Children's Health Ireland,Sheree Chadwick,10d 17h 28m,926906.0,2d 1h 28m,178106.0,Access & Security,Audit & Compliance,N/A
20,CS1797962,Report to show staff activity,Northern Lincolnshire And Goole NHS Foundation Trust,Shazad Ishaque,10d 11h 16m,904581.0,5d 11h 16m,472581.0,Access & Security,Authentication,N/A
