created_month,Access & Security / User Access,Data Management / Data Quality,Data Management / Data Recovery,Defects & Errors / Error Messages,Notifications & Communications / Alerts,Notifications & Communications / Email,Notifications & Communications / Subscription,Other,Performance & Availability / Availability,Performance & Availability / Performance,Reporting & Analytics / Analytics,Reporting & Analytics / Dashboard,Reporting & Analytics / Reporting,Service Requests / Information Request,User Guidance & Training / Training
2025-07,0.0,0.0,0.0,0.0,1.0,3.0,0.0,38.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2025-08,0.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2025-09,0.0,1.0,0.0,0.0,0.0,3.0,0.0,85.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
2025-10,0.0,1.0,0.0,0.0,0.0,2.0,0.0,89.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0
2025-11,1.0,0.0,0.0,0.0,0.0,4.0,0.0,73.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
2025-12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
2026-01,0.0,0.0,0.0,1.0,0.0,2.0,0.0,44.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0
2026-02,0.0,0.0,0.0,0.0,1.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2026-03,0.0,0.0,0.0,1.0,0.0,1.0,1.0,57.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2026-04,0.0,0.0,1.0,2.0,1.0,2.0,0.0,60.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
2026-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0
2026-06,0.0,0.0,0.0,3.0,0.0,6.0,0.0,75.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
2026-07,2.0,0.0,0.0,0.0,1.0,2.0,0.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2026-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
