Level,Trend Category,Sub-Category,Total Cases,SLA Recorded Cases,Avg SLA Business Time,Avg SLA Business Seconds,Median SLA Business Time,P90 SLA Business Time,Avg Elapsed Duration
Category,Integration & Interfaces,ALL,500,436,1d 11m,87095,4h 43m,2d 18h 58m,3d 1h 46m
Category,Access & Security,ALL,228,204,22h 56m,82594,6h 59m,1d 18h 21m,2d 20h 2m
Category,Configuration & Administration,ALL,80,72,1d 1h 48m,92899,12h 35m,2d 16h 22m,3d 9h 7m
Category,Performance & Availability,ALL,40,36,16h 34m,59662,3h 36m,15h 24m,1d 18h 40m
Category,Reporting & Analytics,ALL,35,32,2d 3h 45m,186348,15h 45m,6d 6h 58m,7d 1h 48m
Category,Defects & Errors,ALL,20,17,1d 1h 44m,92659,3h 8m,3d 17h 26m,4d 14h 32m
Category,Service Requests,ALL,18,15,3d 23h 47m,344830,3h 58m,3d 16h 13m,9d 7h 14m
Category,Data Management,ALL,15,15,1d 7h 35m,113730,6h 9m,4d 10h 17m,3d 10h 24m
Category,Notifications & Communications,ALL,12,12,18h 55m,68143,5h 49m,1d 4h 51m,2d 9h 26m
Category,Workflow & Process,ALL,5,3,4h 45m,17133,4h 4m,7h 5m,4h 45m
Category,User Guidance & Training,ALL,4,4,9h 44m,35046,9h 22m,15h 46m,1d 8h 29m
Category,Case Administration,ALL,1,1,3h 7m,11267,3h 7m,3h 7m,18h 50m
Sub-Category,Integration & Interfaces,Integration Failure,268,230,18h 56m,68209,3h 17m,2d 6h 38m,2d 7h 28m
Sub-Category,Integration & Interfaces,Third-Party Systems,230,204,1d 6h 9m,108545,6h 20m,3d 18h 23m,3d 22h 39m
Sub-Category,Access & Security,Audit & Compliance,151,133,19h 2m,68550,7h 54m,1d 17h 16m,2d 13h 20m
Sub-Category,Access & Security,Authentication,59,54,1d 12h 50m,132616,5h 39m,5d 11h 16m,3d 23h 51m
Sub-Category,Configuration & Administration,Master Data,41,36,1d 42m,88969,13h 16m,2d 16h 22m,3d 1h 53m
Sub-Category,Reporting & Analytics,Reporting,31,29,2d 4h 13m,188034,16h 58m,6d 6h 58m,7d 9h 55m
Sub-Category,Configuration & Administration,Configuration Change,28,25,18h 19m,65959,12h 32m,2d 11h 37m,2d 10h 36m
Sub-Category,Performance & Availability,Performance,24,21,1d 1h 49m,92941,6h 55m,1d 6h 37m,2d 19h 45m
Sub-Category,Defects & Errors,Application Defect,20,17,1d 1h 44m,92659,3h 8m,3d 17h 26m,4d 14h 32m
Sub-Category,Service Requests,New Request,18,15,3d 23h 47m,344830,3h 58m,3d 16h 13m,9d 7h 14m
Sub-Category,Access & Security,User Access,18,17,9h 19m,33573,5h 11m,20h 13m,1d 7h 57m
Sub-Category,Performance & Availability,Availability,16,15,3h 37m,13072,2h 20m,12h 27m,7h 32m
Sub-Category,Configuration & Administration,System Administration,11,11,1d 22h 23m,166989,7h 24m,4d 19h 11m,6d 12h 2m
Sub-Category,Data Management,Data Correction,10,10,1d 9h 33m,120825,5h 2m,2d 7h 13m,3d 4h 10m
Sub-Category,Notifications & Communications,Email,7,7,1d 4h 31m,102682,8h 56m,1d 4h 51m,3d 17h 56m
Sub-Category,Data Management,Data Recovery,5,5,1d 3h 39m,99542,10h 40m,4d 10h 17m,3d 22h 51m
Sub-Category,Notifications & Communications,Alerts,5,5,5h 29m,19788,1h 48m,16h 27m,11h 56m
Sub-Category,Workflow & Process,Assignment,4,3,4h 45m,17133,4h 4m,7h 5m,4h 45m
Sub-Category,User Guidance & Training,How-To Request,4,4,9h 44m,35046,9h 22m,15h 46m,1d 8h 29m
Sub-Category,Reporting & Analytics,Dashboard,2,2,2d 20h 42m,247334,2d 20h 42m,5d 11h 34m,5d 14h 42m
Sub-Category,Integration & Interfaces,Data Exchange,2,2,19h 43m,71030,19h 43m,1d 10h 49m,2d 1h 43m
Sub-Category,Reporting & Analytics,Analytics,2,1,4h 18m,15484,4h 18m,4h 18m,4h 18m
Sub-Category,Case Administration,Closure Management,1,1,3h 7m,11267,3h 7m,3h 7m,18h 50m
Sub-Category,Workflow & Process,Approval Management,1,0,N/A,,N/A,N/A,N/A
