trend,count
Other,847
Reporting & Analytics / Reporting,34
Notifications & Communications / Email,33
Performance & Availability / Performance,12
Defects & Errors / Error Messages,8
User Guidance & Training / Training,6
Notifications & Communications / Alerts,5
Reporting & Analytics / Dashboard,3
Access & Security / User Access,3
Data Management / Data Quality,2
Performance & Availability / Availability,1
Service Requests / Information Request,1
Notifications & Communications / Subscription,1
Data Management / Data Recovery,1
Reporting & Analytics / Analytics,1
